x,y,yaw,road_id,lane_id
241.73613,-249.616364,3.13470732,27,-1
240.736145,-249.609482,3.13470732,27,-1
239.736176,-249.602585,3.13470732,27,-1
238.736191,-249.595703,3.13470732,27,-1
237.736221,-249.588821,3.13470732,27,-1
236.736252,-249.58194,3.13470732,27,-1
235.736267,-249.575043,3.13470732,27,-1
234.736298,-249.568161,3.13470732,27,-1
233.736313,-249.561279,3.13470732,27,-1
232.736343,-249.554398,3.13470732,27,-1
231.736359,-249.547516,3.13470732,27,-1
230.736389,-249.540619,3.13470732,27,-1
229.736404,-249.533737,3.13470732,27,-1
228.736435,-249.526855,3.13470732,27,-1
227.73645,-249.519974,3.13470732,27,-1
226.736481,-249.513077,3.13470732,27,-1
225.736511,-249.506195,3.13470732,27,-1
224.736526,-249.499313,3.13470732,27,-1
223.736557,-249.492432,3.13470732,27,-1
222.736572,-249.485535,3.13470732,27,-1
221.736603,-249.478653,3.13470732,27,-1
220.736618,-249.471771,3.13470732,27,-1
219.736649,-249.46489,3.13470732,27,-1
218.736664,-249.458008,3.13470732,27,-1
217.736694,-249.451111,3.13470732,27,-1
216.736725,-249.444229,3.13470732,27,-1
215.73674,-249.437347,3.13470732,27,-1
214.736771,-249.430466,3.13470732,27,-1
212.7668,-249.416885,3.13470732,996,-1
211.76683,-249.410004,-3.14847799,974,-1
210.714005,-249.397675,-3.17858476,974,-1
209.534515,-249.291473,-3.28419135,974,-1
208.372787,-249.061523,-3.3897982,974,-1
207.241776,-248.710419,-3.49540506,974,-1
206.154083,-248.242035,-3.60101164,974,-1
205.121811,-247.661621,-3.70661823,974,-1
204.156464,-246.975616,-3.81222509,974,-1
203.265366,-246.187653,-3.92084451,974,-1
202.46051,-245.294815,-4.03668962,974,-1
201.764252,-244.314926,-4.15253473,974,-1
201.185928,-243.261154,-4.26837957,974,-1
200.733261,-242.147583,-4.38422468,974,-1
200.412354,-240.989151,-4.50007006,974,-1
200.227493,-239.801392,-4.6159149,974,-1
200.173569,-238.674011,-4.68944745,974,-1
200.148849,-237.596298,1.59373733,17,-1
200.125916,-236.596558,1.59373733,17,-1
200.102966,-235.596817,1.59373733,17,-1
200.080032,-234.597092,1.59373733,17,-1
200.057098,-233.597351,1.59373733,17,-1
200.034149,-232.59761,1.59373733,17,-1
200.011215,-231.59787,1.59373733,17,-1
199.988281,-230.598145,1.59373733,17,-1
199.965332,-229.598404,1.59373733,17,-1
199.942398,-228.598663,1.59373733,17,-1
199.919464,-227.598923,1.59373733,17,-1
199.896515,-226.599197,1.59373733,17,-1
199.873581,-225.599457,1.59373733,17,-1
199.850647,-224.599716,1.59373733,17,-1
199.827698,-223.599976,1.59373733,17,-1
199.804764,-222.60025,1.59373733,17,-1
199.78183,-221.60051,1.59373733,17,-1
199.758881,-220.600769,1.59373733,17,-1
199.735947,-219.601028,1.59373733,17,-1
199.713013,-218.601303,1.59373733,17,-1
199.690063,-217.601562,1.59373733,17,-1
199.66713,-216.601822,1.59373733,17,-1
199.644196,-215.602081,1.59373733,17,-1
199.621246,-214.602356,1.59373733,17,-1
199.598312,-213.602615,1.59373733,17,-1
199.575378,-212.602875,1.59373733,17,-1
199.552429,-211.603134,1.59373733,17,-1
199.529495,-210.603409,1.59373733,17,-1
199.506561,-209.603668,1.59373733,17,-1
199.483612,-208.603928,1.59373733,17,-1
